metric,runs,mean,standard_deviation,variance,minimum,minimum_seed,maximum,maximum_seed,mean_plus_minus_std
best_val_f1,16,0.72420525,0.006241381252041337,3.895483993333309e-05,0.712329,909,0.736292,808,0.7242 ± 0.0062
test_f1,16,0.8242186866700649,0.010018534714606207,0.00010037103782776965,0.8065476417541504,1212,0.8371104598045349,42,0.8242 ± 0.0100
test_accuracy,16,0.9003292061388493,0.005529237294614858,3.0572465060159834e-05,0.8871855139732361,1414,0.9095911979675293,42,0.9003 ± 0.0055
test_precision,16,0.8194901049137115,0.026564232735556473,0.0007056584608288101,0.7718631029129028,1414,0.8630573153495789,1212,0.8195 ± 0.0266
test_recall,16,0.830918300896883,0.033807228366574585,0.0011429286898297253,0.75698322057724,1212,0.8826815485954285,404,0.8309 ± 0.0338
test_auroc,16,0.9346918016672134,0.00569150477322066,3.239322658359356e-05,0.9236862659454346,1313,0.9419909715652466,101,0.9347 ± 0.0057
test_loss,16,0.31695781012689517,0.03740008477690691,0.0013987663413198236,0.26303847759035553,101,0.4331384372347632,1313,0.3170 ± 0.0374
test_ece,16,0.0295611375477165,0.011820480798421839,0.0001397237663058594,0.016994599252939224,303,0.06689423322677612,1313,0.0296 ± 0.0118
test_brier,16,0.09285677876323462,0.014541093986564878,0.00021144341432611328,0.07341249287128448,101,0.1380879431962967,1313,0.0929 ± 0.0145
