metric,runs,mean,standard_deviation,variance,minimum,minimum_seed,maximum,maximum_seed,mean_plus_minus_std
best_val_f1,16,0.7057865625,0.02225577427386353,0.0004953194885291658,0.671587,1111,0.751724,707,0.7058 ± 0.0223
test_f1,16,0.8221434615552425,0.016348628268561618,0.0002672776462636121,0.7932647466659546,1111,0.8481375575065613,1414,0.8221 ± 0.0163
test_accuracy,16,0.8978472240269184,0.010116345810186536,0.00010234045255127869,0.8772222399711609,1111,0.9116666913032532,1414,0.8978 ± 0.0101
test_precision,16,0.8078351803123951,0.026849470682151273,0.0007208940759117007,0.754448413848877,1111,0.8501070737838745,1515,0.8078 ± 0.0268
test_recall,16,0.838017750531435,0.02606611466760635,0.0006794423338648029,0.7830374836921692,1515,0.8777120113372803,101,0.8380 ± 0.0261
test_auroc,16,0.9340218082070351,0.009596776122301398,9.209811194157424e-05,0.9144780039787292,1111,0.9453879594802856,505,0.9340 ± 0.0096
test_loss,16,0.3506823929735829,0.04793227798439214,0.002297503272773043,0.2860887376842186,1414,0.4400647084535571,606,0.3507 ± 0.0479
test_ece,16,0.035727014765143394,0.017368343006016376,0.0003016593387746379,0.014626424759626389,1010,0.07398073375225067,202,0.0357 ± 0.0174
test_brier,16,0.1045773196965456,0.017140899603036722,0.00029381043920138444,0.07907868921756744,303,0.13926668465137482,606,0.1046 ± 0.0171
