seed,best_epoch,best_val_f1,test_f1,test_accuracy,test_precision,test_recall,test_auroc,test_loss,test_ece,test_brier,test_mean_uncertainty,test_aurcbest_checkpoint,log_file
42,105,0.717949,0.7771173715591431,0.8820754885673523,0.8301587104797363,0.7304469347000122,0.9080626964569092,0.3262751341456362,0.04108116775751114,0.092758409678936,nan,,results/orig/obs15_7_det/logs/seed_42.log
101,171,0.719388,0.8175675868988037,0.8938679099082947,0.7918848395347595,0.8449720740318298,0.9252731800079346,0.31504661028097525,0.03785303980112076,0.08225639164447784,nan,,results/orig/obs15_7_det/logs/seed_101.log
202,161,0.69898,0.8099730610847473,0.8891509175300598,0.7825520634651184,0.839385449886322,0.9213652014732361,0.3088124553107664,0.033219195902347565,0.08563680201768875,nan,,results/orig/obs15_7_det/logs/seed_202.log
303,13,0.700809,0.7977126240730286,0.8887578845024109,0.8169838786125183,0.7793295979499817,0.9196117520332336,0.31164509763476395,0.04213228076696396,0.09083983302116394,nan,,results/orig/obs15_7_det/logs/seed_303.log
404,16,0.691919,0.8018494248390198,0.8820754885673523,0.7606516480445862,0.8477653861045837,0.9188148379325867,0.31321125648552167,0.0512116439640522,0.08884385228157043,nan,,results/orig/obs15_7_det/logs/seed_404.log
505,144,0.71875,0.8134893178939819,0.893474817276001,0.8018996119499207,0.825419008731842,0.9325605630874634,0.28829411101303243,0.03171289712190628,0.08148840069770813,nan,,results/orig/obs15_7_det/logs/seed_505.log
606,17,0.69898,0.802395224571228,0.8832547068595886,0.7662007808685303,0.8421787619590759,0.9066109657287598,0.33358356642146736,0.03887355327606201,0.09756658226251602,nan,,results/orig/obs15_7_det/logs/seed_606.log
707,111,0.72,0.8184523582458496,0.9040880799293518,0.8757961988449097,0.7681564092636108,0.9317338466644287,0.28152317805805294,0.036055270582437515,0.07804298400878906,nan,,results/orig/obs15_7_det/logs/seed_707.log
808,41,0.713896,0.8073136210441589,0.8922955989837646,0.8130311369895935,0.8016759753227234,0.9053442478179932,0.3532515994705906,0.07087153196334839,0.09510509669780731,nan,,results/orig/obs15_7_det/logs/seed_808.log
909,32,0.700535,0.7980364561080933,0.8867924809455872,0.8014084696769714,0.7946927547454834,0.9065307378768921,0.3413121857200211,0.051453135907649994,0.09439164400100708,nan,,results/orig/obs15_7_det/logs/seed_909.log
1010,119,0.707775,0.8085694313049316,0.8911163806915283,0.800273597240448,0.8170391321182251,0.9221017360687256,0.31135661166506023,0.0437440350651741,0.08774866163730621,nan,,results/orig/obs15_7_det/logs/seed_1010.log
1111,251,0.730077,0.8175083994865417,0.893474817276001,0.7893368005752563,0.8477653861045837,0.9334803819656372,0.2920052138964885,0.026611734181642532,0.08035831153392792,nan,,results/orig/obs15_7_det/logs/seed_1111.log
1212,93,0.717277,0.8211103677749634,0.8974056839942932,0.8061911463737488,0.8365921974182129,0.9317712783813477,0.28953625867309923,0.024366045370697975,0.07992734760046005,nan,,results/orig/obs15_7_det/logs/seed_1212.log
1313,143,0.71,0.8298153281211853,0.8985849022865295,0.7862499952316284,0.8784916400909424,0.9314565062522888,0.288949397644056,0.032835401594638824,0.08163906633853912,nan,,results/orig/obs15_7_det/logs/seed_1313.log
1414,18,0.717087,0.8119099736213684,0.8981918096542358,0.8456883430480957,0.7807262539863586,0.9091995358467102,0.33747773697227645,0.0651974007487297,0.0975617989897728,nan,,results/orig/obs15_7_det/logs/seed_1414.log
1515,33,0.71978,0.8081805109977722,0.893081784248352,0.8162392973899841,0.8002793192863464,0.9237703680992126,0.3034215906366534,0.03710804879665375,0.08626160770654678,nan,,results/orig/obs15_7_det/logs/seed_1515.log
