metric,runs,mean,standard_deviation,variance,minimum,minimum_seed,maximum,maximum_seed,mean_plus_minus_std
best_val_f1,16,0.711450125,0.01052028510307586,0.00011067639864999983,0.691919,404,0.730077,1111,0.7115 ± 0.0105
test_f1,16,0.8088125661015511,0.012128890571609298,0.00014710998649807293,0.7771173715591431,42,0.8298153281211853,1313,0.8088 ± 0.0121
test_accuracy,16,0.891730546951294,0.006244877287422002,3.899849233495919e-05,0.8820754885673523,42,0.9040880799293518,707,0.8917 ± 0.0062
test_precision,16,0.8052841573953629,0.028780765393820296,0.0008283324566541239,0.7606516480445862,404,0.8757961988449097,707,0.8053 ± 0.0288
test_recall,16,0.8146822676062584,0.03793374382726799,0.0014389689207527923,0.7304469347000122,42,0.8784916400909424,1313,0.8147 ± 0.0379
test_auroc,16,0.920480489730835,0.010417223870601872,0.00010851855317023743,0.9053442478179932,808,0.9334803819656372,1111,0.9205 ± 0.0104
test_loss,16,0.31223137525177885,0.02144818983214659,0.00046002484707579645,0.28152317805805294,707,0.3532515994705906,808,0.3122 ± 0.0214
test_ece,16,0.041520398925058544,0.012772467654852697,0.00016313592999425835,0.024366045370697975,1212,0.07087153196334839,808,0.0415 ± 0.0128
test_brier,16,0.08752667438238859,0.006579484400491546,4.32896149763116e-05,0.07804298400878906,707,0.09756658226251602,606,0.0875 ± 0.0066
