metric,runs,mean,standard_deviation,variance,minimum,minimum_seed,maximum,maximum_seed,mean_plus_minus_std
best_val_f1,16,0.7125055625,0.01485448118680577,0.00022065561132916656,0.693548,909,0.743083,202,0.7125 ± 0.0149
test_f1,16,0.8149318620562553,0.015274022306505361,0.00023329575741962334,0.7822374105453491,42,0.8420019745826721,909,0.8149 ± 0.0153
test_accuracy,16,0.8956944420933723,0.012102946528726781,0.00014648131467721962,0.8583333492279053,42,0.9105555415153503,202,0.8957 ± 0.0121
test_precision,16,0.820203959941864,0.047652713552207904,0.002270781108888779,0.6897590160369873,42,0.8801843523979187,1111,0.8202 ± 0.0477
test_recall,16,0.8143491148948669,0.04579377665965047,0.002097069980753948,0.7435897588729858,101,0.9033530354499817,42,0.8143 ± 0.0458
test_auroc,16,0.9284114614129066,0.006568095855132557,4.3139883162209476e-05,0.914301872253418,505,0.9382854700088501,202,0.9284 ± 0.0066
test_loss,16,0.28338664423194126,0.02849969364984449,0.0008122325381349863,0.2506637016730535,808,0.36324010253613626,1212,0.2834 ± 0.0285
test_mean_uncertainty,16,0.3382254093885422,0.04371505930968129,0.0019110064104489529,0.25919443368911743,808,0.4183720648288727,1313,0.3382 ± 0.0437
test_ece,16,0.06956746592186391,0.019053600806188068,0.00036303970368157054,0.04144297167658806,808,0.10974158346652985,1313,0.0696 ± 0.0191
test_brier,16,0.09056286048144102,0.010090708056709953,0.00010182238908575114,0.07569680362939835,808,0.11460059136152267,1212,0.0906 ± 0.0101
test_aurc,16,0.04254315863363445,0.007000239125579157,4.900334781528925e-05,0.03500860556960106,202,0.05738166719675064,1212,0.0425 ± 0.0070
