metric,runs,mean,standard_deviation,variance,minimum,minimum_seed,maximum,maximum_seed,mean_plus_minus_std
best_val_f1,16,0.7177248125,0.006324463774041761,3.999884202916655e-05,0.70437,1111,0.728643,1212,0.7177 ± 0.0063
test_f1,16,0.8217782936990261,0.011113720451229579,0.0001235147822680786,0.8039353489875793,505,0.8446043133735657,404,0.8218 ± 0.0111
test_accuracy,16,0.8985603451728821,0.007252999480755286,5.260600146783645e-05,0.8848270177841187,1212,0.9150943160057068,404,0.8986 ± 0.0073
test_precision,16,0.8144528307020664,0.02836347272228261,0.0008044865848676697,0.7660377621650696,1212,0.8709198832511902,404,0.8145 ± 0.0284
test_recall,16,0.8308309987187386,0.028270197275555627,0.0007992040539988328,0.7723463773727417,606,0.8729050159454346,808,0.8308 ± 0.0283
test_auroc,16,0.9270867370069027,0.005815738493679507,3.382281422686558e-05,0.9122052192687988,505,0.9336042404174805,909,0.9271 ± 0.0058
test_loss,16,0.3007562648502456,0.015010994059397206,0.0002253299426512582,0.2752610383425887,303,0.32907487431224025,1515,0.3008 ± 0.0150
test_ece,16,0.03859733359422535,0.008820280139861499,7.779734174563518e-05,0.026109011843800545,1515,0.06011319160461426,505,0.0386 ± 0.0088
test_brier,16,0.08184825628995895,0.0046975018588969845,2.2066523714340627e-05,0.0767919048666954,404,0.09208419173955917,505,0.0818 ± 0.0047
