metric,runs,mean,standard_deviation,variance,minimum,minimum_seed,maximum,maximum_seed,mean_plus_minus_std
best_val_f1,16,0.6993820625,0.01848977163179235,0.0003418716549958331,0.674699,1111,0.741667,808,0.6994 ± 0.0185
test_f1,16,0.8093927279114723,0.014049586965887177,0.00019739089391202687,0.7820000052452087,606,0.8339768052101135,42,0.8094 ± 0.0140
test_accuracy,16,0.8903125040233135,0.00852488001611508,7.267357928915826e-05,0.8788889050483704,606,0.9044444561004639,42,0.8903 ± 0.0085
test_precision,16,0.7945737801492214,0.032592193509491024,0.0010622510777601086,0.7594255208969116,707,0.8747203350067139,808,0.7946 ± 0.0326
test_recall,16,0.8271696269512177,0.03716522757250201,0.001381254140515864,0.7712031602859497,606,0.8856015801429749,303,0.8272 ± 0.0372
test_auroc,16,0.930198784917593,0.008282322927287524,6.85968730718726e-05,0.9155351519584656,606,0.941879391670227,42,0.9302 ± 0.0083
test_loss,16,0.35045721456663725,0.051112329348672936,0.002612470211447213,0.27027445709698944,303,0.46432702084070154,1313,0.3505 ± 0.0511
test_ece,16,0.031196114839985967,0.010716608259814998,0.00011484569259433506,0.01625797711312771,1212,0.06116843223571777,1313,0.0312 ± 0.0107
test_brier,16,0.10592322703450918,0.018825554226552695,0.00035440149193687596,0.07593196630477905,42,0.1475170999765396,1313,0.1059 ± 0.0188
