seed,best_epoch,best_val_f1,test_f1,test_accuracy,test_precision,test_recall,test_auroc,test_loss,test_ece,test_brier,test_mean_uncertainty,test_aurcbest_checkpoint,log_file
42,153,0.716312,0.8339768052101135,0.9044444561004639,0.8166351318359375,0.8520709872245789,0.941879391670227,0.2711636168988214,0.029838986694812775,0.07593196630477905,nan,,results/flip_only/obs_30_7/logs/seed_42.log
101,21,0.68254,0.8259999752044678,0.903333306312561,0.8377282023429871,0.814595639705658,0.9291267991065979,0.40089935997348575,0.03635719418525696,0.12655259668827057,nan,,results/flip_only/obs_30_7/logs/seed_101.log
202,93,0.710345,0.8114075660705566,0.8861111402511597,0.7603448033332825,0.8698225021362305,0.9340539574623108,0.3394548584931236,0.028620926663279533,0.1006389930844307,nan,,results/flip_only/obs_30_7/logs/seed_202.log
303,109,0.690554,0.8185961842536926,0.8894444704055786,0.7610169649124146,0.8856015801429749,0.9417330026626587,0.27027445709698944,0.03103160671889782,0.07703007012605667,nan,,results/flip_only/obs_30_7/logs/seed_303.log
404,150,0.702509,0.7923771142959595,0.8849999904632568,0.8061224222183228,0.7790927290916443,0.9228526949882507,0.40318848139644686,0.03532588854432106,0.12462373822927475,nan,,results/flip_only/obs_30_7/logs/seed_404.log
505,104,0.706294,0.8153702020645142,0.8905555605888367,0.7767857313156128,0.857988178730011,0.9315507411956787,0.3949578609249283,0.041989535093307495,0.12068590521812439,nan,,results/flip_only/obs_30_7/logs/seed_505.log
606,39,0.6875,0.7820000052452087,0.8788889050483704,0.7931034564971924,0.7712031602859497,0.9155351519584656,0.39173775385893345,0.030067037791013718,0.12202291935682297,nan,,results/flip_only/obs_30_7/logs/seed_606.log
707,16,0.684411,0.7951127886772156,0.8788889050483704,0.7594255208969116,0.834319531917572,0.918901801109314,0.32248221971876273,0.02064313180744648,0.09658880531787872,nan,,results/flip_only/obs_30_7/logs/seed_707.log
808,99,0.741667,0.8197064995765686,0.9044444561004639,0.8747203350067139,0.7712031602859497,0.9379758238792419,0.33726998338830866,0.03473843261599541,0.10013160109519958,nan,,results/flip_only/obs_30_7/logs/seed_808.log
909,13,0.690909,0.7934362888336182,0.8811110854148865,0.7769376039505005,0.8106508851051331,0.9187278747558594,0.36483649638252086,0.019763309508562088,0.11161411553621292,nan,,results/flip_only/obs_30_7/logs/seed_909.log
1010,133,0.733871,0.8136958479881287,0.8972222208976746,0.8312757015228271,0.7968441843986511,0.9313768148422241,0.33134855078673753,0.03239932283759117,0.09820068627595901,nan,,results/flip_only/obs_30_7/logs/seed_1010.log
1111,13,0.674699,0.811284065246582,0.8922222256660461,0.8003838658332825,0.8224852085113525,0.9268050789833069,0.35516868489164755,0.03466380387544632,0.10744699090719223,nan,,results/flip_only/obs_30_7/logs/seed_1111.log
1212,26,0.686792,0.809661865234375,0.8905555605888367,0.7935606241226196,0.8264299631118774,0.9338845610618591,0.3166695408102218,0.01625797711312771,0.09518630057573318,nan,,results/flip_only/obs_30_7/logs/seed_1212.log
1313,106,0.693727,0.7945998311042786,0.8816666603088379,0.7773584723472595,0.8126232624053955,0.9251759052276611,0.46432702084070154,0.06116843223571777,0.1475170999765396,nan,,results/flip_only/obs_30_7/logs/seed_1313.log
1414,22,0.690141,0.8185961842536926,0.8894444704055786,0.7610169649124146,0.8856015801429749,0.9394539594650269,0.31757252207722936,0.01906115747988224,0.0925312489271164,nan,,results/flip_only/obs_30_7/logs/seed_1414.log
1515,117,0.697842,0.814462423324585,0.8916666507720947,0.7867646813392639,0.844181478023529,0.9341470003128052,0.32596402552733755,0.02721109427511692,0.09806859493255615,nan,,results/flip_only/obs_30_7/logs/seed_1515.log
