metric,runs,mean,standard_deviation,variance,minimum,minimum_seed,maximum,maximum_seed,mean_plus_minus_std
best_val_f1,16,0.7151599375,0.011126371828340989,0.0001237961500625,0.697436,1010,0.73822,42,0.7152 ± 0.0111
test_f1,16,0.818386435508728,0.01164443599247564,0.00013559288958286212,0.7919191718101501,1313,0.8322895169258118,1212,0.8184 ± 0.0116
test_accuracy,16,0.8963983915746212,0.008167495154406077,6.670797709724674e-05,0.8785377144813538,1313,0.9072327017784119,101,0.8964 ± 0.0082
test_precision,16,0.8093975335359573,0.028559284286630245,0.0008156327189645651,0.7646293640136719,1313,0.8606060743331909,1111,0.8094 ± 0.0286
test_recall,16,0.828736025840044,0.020914771643571493,0.00043742767290274226,0.7877094745635986,1515,0.8617318272590637,303,0.8287 ± 0.0209
test_auroc,16,0.9281023144721985,0.006402911611433266,4.0997277103826946e-05,0.9146608114242554,1313,0.9364364147186279,1212,0.9281 ± 0.0064
test_loss,16,0.30305099331766727,0.01701324245217804,0.00028945041873659305,0.27861664899518596,303,0.3353311796830602,42,0.3031 ± 0.0170
test_ece,16,0.030543339322321117,0.008570282735899711,7.344974617326064e-05,0.016667110845446587,1010,0.04917566105723381,505,0.0305 ± 0.0086
test_brier,16,0.0824109218083322,0.005601508764564153,3.137690043948903e-05,0.07476957887411118,303,0.09482759237289429,1313,0.0824 ± 0.0056
