metric,runs,mean,standard_deviation,variance,minimum,minimum_seed,maximum,maximum_seed,mean_plus_minus_std
best_val_f1,16,0.7027783125,0.015323195809920535,0.00023480032982916622,0.672065,505,0.727969,1111,0.7028 ± 0.0153
test_f1,16,0.804739635437727,0.020356548239042583,0.0004143890562084677,0.7654584050178528,404,0.8371174931526184,707,0.8047 ± 0.0204
test_accuracy,16,0.891979169100523,0.008620897699218262,7.431987714038672e-05,0.8777777552604675,404,0.9083333611488342,707,0.8920 ± 0.0086
test_precision,16,0.8200665824115276,0.028496226540751162,0.000812034927061811,0.7579832077026367,909,0.8468271493911743,1313,0.8201 ± 0.0285
test_recall,16,0.7932692244648933,0.05305789789453627,0.0028151405289870367,0.7080867886543274,404,0.8895463347434998,909,0.7933 ± 0.0531
test_auroc,16,0.9230778850615025,0.008553627815365948,7.316454880380204e-05,0.9104081988334656,808,0.939842939376831,202,0.9231 ± 0.0086
test_loss,16,0.30099266937966035,0.02936701237293632,0.0008624214157121949,0.2584188225955668,909,0.37232653067676297,1515,0.3010 ± 0.0294
test_mean_uncertainty,16,0.3335016928613186,0.04072530332111812,0.001658550330597075,0.2515694499015808,202,0.4015845060348511,606,0.3335 ± 0.0407
test_ece,16,0.06177213042974472,0.016852782681108486,0.0002840162840966702,0.04078560695052147,202,0.09347755461931229,606,0.0618 ± 0.0169
test_brier,16,0.09579367097467184,0.010209844958095474,0.00010424093406834756,0.07983439415693283,909,0.11880243569612503,1515,0.0958 ± 0.0102
test_aurc,16,0.0467684087343514,0.008410708333952596,7.074001467881966e-05,0.03365936875343323,202,0.06415059417486191,1515,0.0468 ± 0.0084
