metric,runs,mean,standard_deviation,variance,minimum,minimum_seed,maximum,maximum_seed,mean_plus_minus_std
best_val_f1,16,0.7039641875,0.013302279510012546,0.0001769506401624996,0.681818,1111,0.727941,303,0.7040 ± 0.0133
test_f1,16,0.8077009990811348,0.01891548713613305,0.00035779565359721487,0.7693817615509033,909,0.839530348777771,1414,0.8077 ± 0.0189
test_accuracy,16,0.892048604786396,0.011073497362143048,0.00012262234382938905,0.8694444298744202,909,0.9088888764381409,1414,0.8920 ± 0.0111
test_precision,16,0.8123128153383732,0.03463458844836919,0.0011995547169879087,0.7606382966041565,1010,0.8720930218696594,101,0.8123 ± 0.0346
test_recall,16,0.8052268177270889,0.036642534644368306,0.0013426753451637316,0.7396449446678162,101,0.8658776879310608,808,0.8052 ± 0.0366
test_auroc,16,0.9250478744506836,0.008628237964734744,7.444649037608997e-05,0.9070903062820435,1111,0.9373335838317871,101,0.9250 ± 0.0086
test_loss,16,0.3164611941205459,0.019105080339936933,0.0003650040947954447,0.29002285370719455,606,0.3449611429506231,505,0.3165 ± 0.0191
test_ece,16,0.041458860039711,0.013865558115159023,0.00019225370184485223,0.020616564899683,42,0.06531316787004471,1212,0.0415 ± 0.0139
test_brier,16,0.08850085781887174,0.0080520181408483,6.48349961405501e-05,0.07640313357114792,1414,0.10108980536460876,505,0.0885 ± 0.0081
