metric,runs,mean,standard_deviation,variance,minimum,minimum_seed,maximum,maximum_seed,mean_plus_minus_std
best_val_f1,16,0.6867255,0.012599868158040378,0.00015875667759999984,0.66383,909,0.712,101,0.6867 ± 0.0126
test_f1,16,0.8015196584165096,0.014718423064502674,0.00021663197750568426,0.7756410241127014,707,0.8250758051872253,404,0.8015 ± 0.0147
test_accuracy,16,0.8852430507540703,0.010825907118954117,0.0001172002649482214,0.8644444346427917,1313,0.9038888812065125,404,0.8852 ± 0.0108
test_precision,16,0.786362063139677,0.04725748451716741,0.0022332698428903174,0.7051482200622559,1313,0.8653421401977539,909,0.7864 ± 0.0473
test_recall,16,0.8227317556738853,0.051256116921382544,0.0026271895218584382,0.715976357460022,707,0.8915187120437622,1313,0.8227 ± 0.0513
test_auroc,16,0.9228352308273315,0.007914222113720865,6.263491166530836e-05,0.9111327528953552,909,0.9357563257217407,101,0.9228 ± 0.0079
test_loss,16,0.3154917823167837,0.01988530984507042,0.0003954255476344545,0.28763311981069484,1515,0.34813285638043673,42,0.3155 ± 0.0199
test_ece,16,0.03758654848206788,0.008526970846812724,7.270923182239411e-05,0.02673359401524067,707,0.05763213708996773,808,0.0376 ± 0.0085
test_brier,16,0.08993150433525443,0.007498996459569069,5.623494790062943e-05,0.08072365820407867,1515,0.10519897192716599,42,0.0899 ± 0.0075
