seed,best_epoch,best_val_f1,test_f1,test_accuracy,test_precision,test_recall,test_auroc,test_loss,test_ece,test_brier,test_mean_uncertainty,test_aurcbest_checkpoint,log_file
42,23,0.687831,0.7983651161193848,0.8836477994918823,0.7792553305625916,0.8184357285499573,0.8994569778442383,0.310643382595174,0.0760243684053421,0.09986422210931778,0.38089001178741455,,results/orig/obs15_9_edl_mse/logs/seed_42.log
101,117,0.705539,0.7693498730659485,0.8828616142272949,0.8628472089767456,0.6941340565681458,0.9060280323028564,0.31652912597044447,0.0749652311205864,0.1004677265882492,0.36261069774627686,,results/orig/obs15_9_edl_mse/logs/seed_101.log
202,23,0.711957,0.7948164343833923,0.8879716992378235,0.8202080130577087,0.7709497213363647,0.9037222266197205,0.30799016790462574,0.07994566857814789,0.09912838041782379,0.3822125792503357,,results/orig/obs15_9_edl_mse/logs/seed_202.log
303,37,0.688,0.8105482459068298,0.8926886916160583,0.8055172562599182,0.8156424760818481,0.9176275730133057,0.2845098597079734,0.06317973136901855,0.09018026292324066,0.34319353103637695,,results/orig/obs15_9_edl_mse/logs/seed_303.log
404,230,0.716883,0.8285322189331055,0.9017295837402344,0.8140161633491516,0.8435754179954529,0.9350405931472778,0.24602095732285667,0.04584180936217308,0.07558587193489075,0.27721813321113586,,results/orig/obs15_9_edl_mse/logs/seed_404.log
505,123,0.704961,0.8129543662071228,0.8887578845024109,0.7716436386108398,0.8589385747909546,0.9213109016418457,0.27080776153488806,0.04954177141189575,0.08303584158420563,0.28874659538269043,,results/orig/obs15_9_edl_mse/logs/seed_505.log
606,18,0.709677,0.7747336626052856,0.8836477994918823,0.851170539855957,0.7108938694000244,0.9106428027153015,0.29234035057017493,0.06905905902385712,0.09353746473789215,0.37096133828163147,,results/orig/obs15_9_edl_mse/logs/seed_606.log
707,9,0.702413,0.7916083931922913,0.8828616142272949,0.7927170991897583,0.7905027866363525,0.9059264063835144,0.2993536626512325,0.04956286400556564,0.09405689686536789,0.3343093693256378,,results/orig/obs15_9_edl_mse/logs/seed_707.log
808,42,0.688776,0.796484112739563,0.8816823959350586,0.7719528079032898,0.8226256966590881,0.916352391242981,0.29044325094664947,0.05671672523021698,0.09272222965955734,0.35167428851127625,,results/orig/obs15_9_edl_mse/logs/seed_808.log
909,137,0.71345,0.8194546699523926,0.9036949872970581,0.8673946857452393,0.7765362858772278,0.92542564868927,0.27052813607544335,0.06278713792562485,0.08459898084402084,0.31655827164649963,,results/orig/obs15_9_edl_mse/logs/seed_909.log
1010,160,0.708571,0.8003072142601013,0.8977987170219421,0.8890784978866577,0.7276536226272583,0.9134941697120667,0.2788156267652534,0.06481171399354935,0.08729797601699829,0.33269739151000977,,results/orig/obs15_9_edl_mse/logs/seed_1010.log
1111,124,0.70195,0.7835205793380737,0.8863993883132935,0.8449111580848694,0.7304469347000122,0.9209388494491577,0.28001409434152225,0.04083479568362236,0.0871330052614212,0.3045814037322998,,results/orig/obs15_9_edl_mse/logs/seed_1111.log
1212,25,0.715116,0.7687641978263855,0.8801100850105286,0.8407959938049316,0.7081005573272705,0.9049164056777954,0.3025073918403875,0.06805530190467834,0.09666983038187027,0.37214940786361694,,results/orig/obs15_9_edl_mse/logs/seed_1212.log
1313,168,0.712821,0.8069241046905518,0.8860062956809998,0.7709923386573792,0.8463687300682068,0.9208090305328369,0.30135114905907684,0.06148494780063629,0.09780771285295486,0.36038845777511597,,results/orig/obs15_9_edl_mse/logs/seed_1313.log
1414,25,0.715909,0.8106169104576111,0.8962264060974121,0.8333333134651184,0.7891061305999756,0.915866494178772,0.29031506145247316,0.07114628702402115,0.09233830124139786,0.34944331645965576,,results/orig/obs15_9_edl_mse/logs/seed_1414.log
1515,119,0.706215,0.8092566728591919,0.893081784248352,0.8126760721206665,0.8058659434318542,0.9226533770561218,0.2870602543275822,0.04728817939758301,0.08888205885887146,0.2964850962162018,,results/orig/obs15_9_edl_mse/logs/seed_1515.log
