metric,runs,mean,standard_deviation,variance,minimum,minimum_seed,maximum,maximum_seed,mean_plus_minus_std
best_val_f1,16,0.7156336875,0.009565390479701626,9.14966950291665e-05,0.699187,606,0.735695,1111,0.7156 ± 0.0096
test_f1,16,0.8169994577765465,0.015599705802784412,0.00024335082113342567,0.77689528465271,606,0.8371767997741699,101,0.8170 ± 0.0156
test_accuracy,16,0.8970617093145847,0.00891163556851613,7.941724850604181e-05,0.8785377144813538,606,0.9084119200706482,101,0.8971 ± 0.0089
test_precision,16,0.8187407217919827,0.02817075981232667,0.0007935917084037994,0.7735618352890015,404,0.875,42,0.8187 ± 0.0282
test_recall,16,0.8166899494826794,0.030863495891221036,0.0009525553786274177,0.751396656036377,606,0.8826815485954285,404,0.8167 ± 0.0309
test_auroc,16,0.9299268238246441,0.010041797766689538,0.000100837702387091,0.9165968894958496,606,0.9454764723777771,101,0.9299 ± 0.0100
test_loss,16,0.3168582566045239,0.028339367382207097,0.0008031197436237034,0.27361170318166134,101,0.37432666414623234,505,0.3169 ± 0.0283
test_ece,16,0.03172609390458092,0.01101798991248062,0.00012139610171152467,0.015620294027030468,1414,0.05183788388967514,808,0.0317 ± 0.0110
test_brier,16,0.09290695702657104,0.010132713304596648,0.00010267187891314991,0.07777152955532074,101,0.11176817119121552,505,0.0929 ± 0.0101
