metric,runs,mean,standard_deviation,variance,minimum,minimum_seed,maximum,maximum_seed,mean_plus_minus_std
best_val_f1,16,0.70914225,0.012022067966868269,0.00014453011820000016,0.690537,606,0.742382,808,0.7091 ± 0.0120
test_f1,16,0.8136218264698982,0.011761475464518608,0.0001383323051024732,0.7910562753677368,1515,0.831944465637207,1010,0.8136 ± 0.0118
test_accuracy,16,0.8929589204490185,0.007533398090676172,5.6752086792603386e-05,0.8793238997459412,42,0.9056603908538818,808,0.8930 ± 0.0075
test_precision,16,0.8000159412622452,0.03429613627402067,0.0011762249633261964,0.7491207718849182,404,0.8829604387283325,1515,0.8000 ± 0.0343
test_recall,16,0.8304818496108055,0.037000631211747424,0.0013690467100677375,0.7164804339408875,1515,0.8924580812454224,404,0.8305 ± 0.0370
test_auroc,16,0.9231038503348827,0.009667626365949615,9.346299955160416e-05,0.9062641263008118,42,0.9366786479949951,808,0.9231 ± 0.0097
test_loss,16,0.301966117684249,0.015705077118863982,0.000246649447309465,0.27845118203592173,808,0.3264397989133648,42,0.3020 ± 0.0157
test_ece,16,0.041192097938619554,0.01130264669433344,0.00012774982229692662,0.02533780224621296,1111,0.06651732325553894,303,0.0412 ± 0.0113
test_brier,16,0.08465968770906329,0.004955226524786053,2.455426991194327e-05,0.0774306207895279,404,0.09148937463760376,303,0.0847 ± 0.0050
