metric,runs,mean,standard_deviation,variance,minimum,minimum_seed,maximum,maximum_seed,mean_plus_minus_std
best_val_f1,16,0.7046783125,0.02013881310212942,0.0004055717931624997,0.669388,1313,0.742424,1212,0.7047 ± 0.0201
test_f1,16,0.8139732256531715,0.029737800857333803,0.000884336799830443,0.7317073345184326,707,0.8438133597373962,101,0.8140 ± 0.0297
test_accuracy,16,0.8960069417953491,0.014531383905245585,0.00021116111820163042,0.8594444394111633,707,0.9144444465637207,101,0.8960 ± 0.0145
test_precision,16,0.8190492726862431,0.025252342936867397,0.0006376808238011567,0.76953125,42,0.8684759736061096,101,0.8190 ± 0.0253
test_recall,16,0.8104043416678905,0.047555243421027085,0.0022615011768331397,0.6804733872413635,707,0.8599605560302734,404,0.8104 ± 0.0476
test_auroc,16,0.9315161071717739,0.011385544480399959,0.00012963062311516598,0.9096226096153259,1515,0.9496179819107056,505,0.9315 ± 0.0114
test_loss,16,0.3332360692847129,0.05283098334916597,0.0027911128016398523,0.2514285341815986,505,0.4322692482029882,42,0.3332 ± 0.0528
test_ece,16,0.033996084122918546,0.015432714975968723,0.00023816869152948927,0.011692650616168976,505,0.0666426420211792,1515,0.0340 ± 0.0154
test_brier,16,0.10055531281977892,0.020045087595053,0.0004018055366933476,0.07152097672224045,505,0.14054787158966064,42,0.1006 ± 0.0200
