metric,runs,mean,standard_deviation,variance,minimum,minimum_seed,maximum,maximum_seed,mean_plus_minus_std
best_val_f1,16,0.727466125,0.012174161604945662,0.00014821021078333316,0.709898,707,0.760563,808,0.7275 ± 0.0122
test_f1,16,0.8246130235493183,0.014415869233245485,0.00020781728575003378,0.7984420657157898,404,0.8539999723434448,101,0.8246 ± 0.0144
test_accuracy,16,0.8995486088097095,0.0092878520740953,8.626419615027636e-05,0.8849999904632568,404,0.9188888669013977,101,0.8995 ± 0.0093
test_precision,16,0.8129973076283932,0.029889069396837067,0.000893356469408942,0.7707581520080566,707,0.866125762462616,101,0.8130 ± 0.0299
test_recall,16,0.8378944769501686,0.0255875587982001,0.0006547231652513474,0.7889546155929565,909,0.8875739574432373,505,0.8379 ± 0.0256
test_auroc,16,0.9375376626849174,0.006754625036998318,4.562495939044453e-05,0.9235345721244812,404,0.9477896690368652,101,0.9375 ± 0.0068
test_loss,16,0.31047882662978443,0.045843319253211764,0.0021016099201518965,0.26442655423156775,303,0.4190921236686028,707,0.3105 ± 0.0458
test_mean_uncertainty,16,0.3516647797077894,0.03785713652332695,0.0014331627857458154,0.29733049869537354,101,0.444095253944397,404,0.3517 ± 0.0379
test_ece,16,0.07411067374050617,0.0158427630274512,0.0002509931403439747,0.051687952131032944,42,0.10477758944034576,1414,0.0741 ± 0.0158
test_brier,16,0.1004698402248323,0.01509178264685717,0.0002277619034599792,0.08573002368211746,303,0.13310657441616058,707,0.1005 ± 0.0151
test_aurc,16,0.04227751004509628,0.008505757367695845,7.234790839811215e-05,0.031885627657175064,1111,0.05993334576487541,707,0.0423 ± 0.0085
