metric,runs,mean,standard_deviation,variance,minimum,minimum_seed,maximum,maximum_seed,mean_plus_minus_std
best_val_f1,16,0.7200679375,0.009387581459699824,8.812668566249988e-05,0.699724,101,0.734807,1010,0.7201 ± 0.0094
test_f1,16,0.8171816878020763,0.008146404303556778,6.636390307700838e-05,0.8055555820465088,1212,0.8318213820457458,1414,0.8172 ± 0.0081
test_accuracy,16,0.8988551534712315,0.00421342543975898,1.7752953936408153e-05,0.8899371027946472,1212,0.9052672982215881,1414,0.8989 ± 0.0042
test_precision,16,0.8322451300919056,0.01980146452089543,0.00039209799717228045,0.8011049628257751,1212,0.8747967481613159,404,0.8322 ± 0.0198
test_recall,16,0.8035963587462902,0.023946843872165002,0.0005734513314378465,0.751396656036377,404,0.839385449886322,606,0.8036 ± 0.0239
test_auroc,16,0.9242642223834991,0.007549751883916979,5.6998753508707976e-05,0.9116241931915283,505,0.9352033138275146,606,0.9243 ± 0.0075
test_loss,16,0.3071430736728484,0.019395694635042243,0.00037619297037580637,0.2713971629050084,606,0.34388760978251265,1313,0.3071 ± 0.0194
test_mean_uncertainty,16,0.40007236786186695,0.026999166388842283,0.0007289549856923909,0.3604053556919098,606,0.45152321457862854,505,0.4001 ± 0.0270
test_ece,16,0.09243320720270276,0.01235788193023337,0.00015271724580158847,0.07628051191568375,909,0.11984439939260483,202,0.0924 ± 0.0124
test_brier,16,0.1005592099390924,0.006819247179842662,4.65021320997921e-05,0.08778845518827438,606,0.11303125321865082,1313,0.1006 ± 0.0068
test_aurc,16,0.048836627043783665,0.006659344132943064,4.43468642809632e-05,0.038305655121803284,606,0.0604555681347847,303,0.0488 ± 0.0067
