metric,runs,mean,standard_deviation,variance,minimum,minimum_seed,maximum,maximum_seed,mean_plus_minus_std
best_val_f1,16,0.72837375,0.010592948594859382,0.00011221055993333335,0.712121,303,0.746803,909,0.7284 ± 0.0106
test_f1,16,0.8263552598655224,0.011703615194383836,0.0001369746086182122,0.8023005127906799,505,0.8468834757804871,202,0.8264 ± 0.0117
test_accuracy,16,0.9007714241743088,0.008000561121066728,6.40089782519245e-05,0.8867924809455872,303,0.9111635088920593,202,0.9008 ± 0.0080
test_precision,16,0.8168653436005116,0.036170353084052136,0.0013082944422249999,0.7584540843963623,303,0.8876582384109497,808,0.8169 ± 0.0362
test_recall,16,0.8387744389474392,0.03596730178528659,0.0012936467977138803,0.7793295979499817,505,0.8952513933181763,101,0.8388 ± 0.0360
test_auroc,16,0.9384895600378513,0.004547421495669692,2.0679042259278782e-05,0.9304174184799194,505,0.9475317001342773,202,0.9385 ± 0.0045
test_loss,16,0.30552312693807504,0.029966314035460507,0.0008979799768718375,0.26699714565042215,808,0.38575819167052156,1010,0.3055 ± 0.0300
test_ece,16,0.027677339152432978,0.01006678629832761,0.00010134018637619651,0.013373587280511856,101,0.0434466190636158,1111,0.0277 ± 0.0101
test_brier,16,0.08867861283943057,0.010908145763692333,0.00011898764400195897,0.07307387888431549,808,0.11745498329401016,1010,0.0887 ± 0.0109
