metric,runs,mean,standard_deviation,variance,minimum,minimum_seed,maximum,maximum_seed,mean_plus_minus_std
best_val_f1,16,0.7127783125,0.02163462334844696,0.00046805692742916635,0.664151,707,0.752852,606,0.7128 ± 0.0216
test_f1,16,0.8177024386823177,0.030681021069329937,0.0009413250538566675,0.748155951499939,1313,0.8552253246307373,42,0.8177 ± 0.0307
test_accuracy,16,0.8977777883410454,0.015953892176570637,0.0002545266755816418,0.8594444394111633,707,0.9183333516120911,1212,0.8978 ± 0.0160
test_precision,16,0.8210143335163593,0.03102163439552145,0.0009623418005693995,0.7519841194152832,707,0.8679653406143188,404,0.8210 ± 0.0310
test_recall,16,0.8159516714513302,0.04690090306415568,0.0021996947082333278,0.7001972198486328,1313,0.8796843886375427,42,0.8160 ± 0.0469
test_auroc,16,0.9320923499763012,0.011217127225213088,0.00012582394318661668,0.910714864730835,707,0.9470583200454712,42,0.9321 ± 0.0112
test_loss,16,0.3451212098221027,0.05747779943219577,0.0033036974275677243,0.2797084172167497,808,0.5177607119437069,606,0.3451 ± 0.0575
test_ece,16,0.0350251424824819,0.01928792430202693,0.00037202402388072106,0.014068705961108208,1212,0.09169287979602814,606,0.0350 ± 0.0193
test_brier,16,0.10210443567484617,0.019745891604068658,0.00038990023523962914,0.08013655990362167,808,0.16160593926906586,606,0.1021 ± 0.0197
