seed,best_epoch,best_val_f1,test_f1,test_accuracy,test_precision,test_recall,test_auroc,test_loss,test_ece,test_brier,test_mean_uncertainty,test_aurcbest_checkpoint,log_file
42,124,0.702041,0.8220000267028809,0.9011111259460449,0.8336713910102844,0.8106508851051331,0.9301656484603882,0.2878058135369527,0.0358457937836647,0.08052679896354675,nan,,results/orig/obs30_8_ratio_det/logs/seed_42.log
101,156,0.686567,0.800000011920929,0.8833333253860474,0.7734806537628174,0.8284023404121399,0.9272749423980713,0.30359685375970286,0.03466410934925079,0.0865912139415741,nan,,results/orig/obs30_8_ratio_det/logs/seed_101.log
202,20,0.671815,0.7853610515594482,0.879444420337677,0.7876983880996704,0.7830374836921692,0.9172817468643188,0.3237140957619164,0.033765941858291626,0.09677915275096893,nan,,results/orig/obs30_8_ratio_det/logs/seed_202.log
303,158,0.698182,0.8106564879417419,0.8894444704055786,0.783088207244873,0.8402366638183594,0.9393014311790466,0.2780434938018272,0.0259492676705122,0.0807700827717781,nan,,results/orig/obs30_8_ratio_det/logs/seed_303.log
404,85,0.696,0.8265609741210938,0.9027777910232544,0.8306772708892822,0.8224852085113525,0.9330212473869324,0.29443159178349293,0.046109944581985474,0.08599041402339935,nan,,results/orig/obs30_8_ratio_det/logs/seed_404.log
505,136,0.695946,0.7996357083320618,0.8777777552604675,0.7428088188171387,0.8658776879310608,0.9288811683654785,0.3014379086093595,0.04946686327457428,0.08732181787490845,nan,,results/orig/obs30_8_ratio_det/logs/seed_505.log
606,144,0.703125,0.8086358904838562,0.8916666507720947,0.8046875,0.8126232624053955,0.9266189932823181,0.30273357170369863,0.03447912260890007,0.08668436110019684,nan,,results/orig/obs30_8_ratio_det/logs/seed_606.log
707,144,0.692857,0.8142444491386414,0.8927778005599976,0.7951127886772156,0.834319531917572,0.9276425838470459,0.30745750376394526,0.03005755878984928,0.0824810266494751,nan,,results/orig/obs30_8_ratio_det/logs/seed_707.log
808,106,0.683824,0.8103130459785461,0.8855555653572083,0.7599309086799622,0.867850124835968,0.9201526641845703,0.31019308583770877,0.04442920535802841,0.08348790556192398,nan,,results/orig/obs30_8_ratio_det/logs/seed_808.log
909,132,0.704698,0.8106194734573364,0.8811110854148865,0.7351524829864502,0.9033530354499817,0.9413409233093262,0.25678180329896566,0.0204705148935318,0.07199033349752426,nan,,results/orig/obs30_8_ratio_det/logs/seed_909.log
1010,25,0.679389,0.8155893683433533,0.8922222256660461,0.7871559858322144,0.8461538553237915,0.928107738494873,0.29769739616214086,0.035747628659009933,0.08535174280405045,nan,,results/orig/obs30_8_ratio_det/logs/seed_1010.log
1111,37,0.681648,0.7867924571037292,0.8744444251060486,0.7540687322616577,0.8224852085113525,0.9054611921310425,0.36186022471539986,0.031898338347673416,0.10755432397127151,nan,,results/orig/obs30_8_ratio_det/logs/seed_1111.log
1212,109,0.66171,0.8023256063461304,0.8866666555404663,0.7885714173316956,0.8165680766105652,0.927261233329773,0.3016248072934346,0.026181958615779877,0.08925993740558624,nan,,results/orig/obs30_8_ratio_det/logs/seed_1212.log
1313,26,0.684825,0.8285431265830994,0.9038888812065125,0.8326693177223206,0.824457585811615,0.9303638935089111,0.2859174239775681,0.04112301766872406,0.08007899671792984,nan,,results/orig/obs30_8_ratio_det/logs/seed_1313.log
1414,119,0.671642,0.8115941882133484,0.8916666507720947,0.7954545617103577,0.8284023404121399,0.9316651225090027,0.2976749629415409,0.040169090032577515,0.08263646811246872,nan,,results/orig/obs30_8_ratio_det/logs/seed_1414.log
1515,26,0.683128,0.8020304441452026,0.8916666507720947,0.8263598084449768,0.7790927290916443,0.9160995483398438,0.32143755520106,0.060497477650642395,0.09193078428506851,nan,,results/orig/obs30_8_ratio_det/logs/seed_1515.log
