seed,best_epoch,best_val_f1,test_f1,test_accuracy,test_precision,test_recall,test_auroc,test_loss,test_ece,test_brier,test_mean_uncertainty,test_aurcbest_checkpoint,log_file
42,100,0.697183,0.8017936944961548,0.8772222399711609,0.7351973652839661,0.88165682554245,0.9258303642272949,0.2649075434307541,0.04278295487165451,0.08270628750324249,0.30394431948661804,,results/orig/obs30_7_edl_mse/logs/seed_42.log
101,111,0.720648,0.7772126197814941,0.878333330154419,0.8025209903717041,0.7534517049789429,0.9162231683731079,0.31240027953472654,0.07823067158460617,0.10192248970270157,0.3957270085811615,,results/orig/obs30_7_edl_mse/logs/seed_101.log
202,175,0.694158,0.8110598921775818,0.8861111402511597,0.7612456679344177,0.867850124835968,0.9285563230514526,0.27773912180313737,0.044876255095005035,0.08842402696609497,0.3220842778682709,,results/orig/obs30_7_edl_mse/logs/seed_202.log
303,84,0.691781,0.8180146813392639,0.8899999856948853,0.7659208178520203,0.8777120113372803,0.9348623752593994,0.2622529880466716,0.05799762159585953,0.08327121287584305,0.322677880525589,,results/orig/obs30_7_edl_mse/logs/seed_303.log
404,117,0.687719,0.807763397693634,0.8844444155693054,0.7599999904632568,0.8619329333305359,0.9268950819969177,0.27742885951802065,0.05805765092372894,0.0885089561343193,0.3414611518383026,,results/orig/obs30_7_edl_mse/logs/seed_404.log
505,139,0.693548,0.8020408153533936,0.8922222256660461,0.830866813659668,0.7751479148864746,0.9164702892303467,0.3091876705323001,0.0834958553314209,0.10111021995544434,0.3856486976146698,,results/orig/obs30_7_edl_mse/logs/seed_505.log
606,131,0.666667,0.7954971790313721,0.8788889050483704,0.7584972977638245,0.8362919092178345,0.9039434194564819,0.3071085922691763,0.06273318082094193,0.09765653312206268,0.3649413585662842,,results/orig/obs30_7_edl_mse/logs/seed_606.log
707,124,0.704453,0.7912772297859192,0.8883333206176758,0.8355262875556946,0.7514792680740356,0.9121822714805603,0.3191874734391093,0.08422326296567917,0.10422588884830475,0.3906565010547638,,results/orig/obs30_7_edl_mse/logs/seed_707.log
808,223,0.705394,0.7857911586761475,0.8894444704055786,0.8649289011955261,0.7199211120605469,0.9238747358322144,0.2922211661187174,0.05101964995265007,0.09144874662160873,0.3094959855079651,,results/orig/obs30_7_edl_mse/logs/seed_808.log
909,31,0.699647,0.7869446873664856,0.8694444298744202,0.7281879186630249,0.8560158014297485,0.9195470809936523,0.2843560252406589,0.06727775931358337,0.08930164575576782,0.32842910289764404,,results/orig/obs30_7_edl_mse/logs/seed_909.log
1010,123,0.694444,0.8080229163169861,0.8883333206176758,0.7833333611488342,0.834319531917572,0.9211770296096802,0.30087815944189883,0.06424401700496674,0.09596050530672073,0.3494221270084381,,results/orig/obs30_7_edl_mse/logs/seed_1010.log
1111,32,0.683099,0.7797513604164124,0.8622221946716309,0.7092084288597107,0.8658776879310608,0.9134269952774048,0.29111397968596175,0.08020751923322678,0.09491125494241714,0.39513564109802246,,results/orig/obs30_7_edl_mse/logs/seed_1111.log
1212,109,0.701195,0.7827911972999573,0.8849999904632568,0.8363228440284729,0.7357001900672913,0.9221677780151367,0.29656271225575753,0.08846022933721542,0.09816284477710724,0.40781837701797485,,results/orig/obs30_7_edl_mse/logs/seed_1212.log
1313,133,0.687943,0.7747914791107178,0.8650000095367432,0.7307692170143127,0.824457585811615,0.9134567379951477,0.303728511431864,0.04374382644891739,0.0970793291926384,0.3479253947734833,,results/orig/obs30_7_edl_mse/logs/seed_1313.log
1414,106,0.693431,0.8113744258880615,0.8894444704055786,0.7810218930244446,0.844181478023529,0.9252384901046753,0.2772794828774893,0.03763418644666672,0.08572965115308762,0.2939172387123108,,results/orig/obs30_7_edl_mse/logs/seed_1414.log
1515,232,0.706714,0.7696737051010132,0.8666666746139526,0.7495326995849609,0.790926992893219,0.9100085496902466,0.3489127275900726,0.05584961175918579,0.11236190795898438,0.3583642244338989,,results/orig/obs30_7_edl_mse/logs/seed_1515.log
