metric,runs,mean,standard_deviation,variance,minimum,minimum_seed,maximum,maximum_seed,mean_plus_minus_std
best_val_f1,16,0.6955015,0.011877999994387373,0.00014108688386666642,0.666667,606,0.720648,101,0.6955 ± 0.0119
test_f1,16,0.7939875274896622,0.01500913780814831,0.00022527421774398704,0.7696737051010132,1515,0.8180146813392639,303,0.7940 ± 0.0150
test_accuracy,16,0.8806944452226162,0.009943258011964828,9.886837989250274e-05,0.8622221946716309,1111,0.8922222256660461,505,0.8807 ± 0.0099
test_precision,16,0.7770675309002399,0.04539089382741856,0.002060333242451984,0.7092084288597107,1111,0.8649289011955261,808,0.7771 ± 0.0454
test_recall,16,0.8173076920211315,0.054555302920715636,0.0029762810767710443,0.7199211120605469,808,0.88165682554245,42,0.8173 ± 0.0546
test_auroc,16,0.9196162931621075,0.007972984985673675,6.356848958177785e-05,0.9039434194564819,606,0.9348623752593994,303,0.9196 ± 0.0080
test_loss,16,0.2953290808260198,0.0220431129920726,0.00048589883038127987,0.2622529880466716,303,0.3489127275900726,1515,0.2953 ± 0.0220
test_mean_uncertainty,16,0.35110308043658733,0.03618865654169209,0.0013096188622925534,0.2939172387123108,1414,0.40781837701797485,1212,0.3511 ± 0.0362
test_ece,16,0.06255214079283178,0.016450009691533922,0.00027060281885156,0.03763418644666672,1414,0.08846022933721542,1212,0.0626 ± 0.0165
test_brier,16,0.09454884380102158,0.008148478634461968,6.639770405628317e-05,0.08270628750324249,42,0.11236190795898438,1515,0.0945 ± 0.0081
test_aurc,16,0.04681235901080072,0.006865785284072772,4.713900756699024e-05,0.03562115132808685,303,0.05919964984059334,1111,0.0468 ± 0.0069
