metric,runs,mean,standard_deviation,variance,minimum,minimum_seed,maximum,maximum_seed,mean_plus_minus_std
best_val_f1,16,0.7048790625,0.007937467114630052,6.300338419583353e-05,0.689474,202,0.717277,1414,0.7049 ± 0.0079
test_f1,16,0.8096756413578987,0.013246288636981126,0.00017546416265421528,0.7810026407241821,606,0.8334494829177856,1111,0.8097 ± 0.0132
test_accuracy,16,0.8897405751049519,0.009421943998607324,8.877302871289258e-05,0.8694968819618225,606,0.9060534834861755,1111,0.8897 ± 0.0094
test_precision,16,0.7896497584879398,0.033441273074819276,0.0011183187448646325,0.7400000095367432,606,0.8557692170143127,101,0.7896 ± 0.0334
test_recall,16,0.8327514007687569,0.028797157527739013,0.0008292762816774158,0.7458100318908691,101,0.8770949840545654,42,0.8328 ± 0.0288
test_auroc,16,0.9159061685204506,0.010174764357080406,0.00010352582972211385,0.8971209526062012,606,0.9326522350311279,42,0.9159 ± 0.0102
test_loss,16,0.28677522118095417,0.013706231947802053,0.00018786079420694967,0.2656904159310147,1111,0.310614849852106,606,0.2868 ± 0.0137
test_mean_uncertainty,16,0.3388235904276371,0.030240173681662194,0.0009144681042970948,0.29674047231674194,1414,0.3930628299713135,909,0.3388 ± 0.0302
test_ece,16,0.06276863254606724,0.01298550664142666,0.0001686233827345359,0.0450257733464241,1313,0.08813652396202087,909,0.0628 ± 0.0130
test_brier,16,0.09060544287785888,0.005049517913752418,2.5497631161306572e-05,0.08296789228916168,1111,0.10034290701150894,404,0.0906 ± 0.0050
test_aurc,16,0.05115307169035077,0.00907718689135056,8.239532186050645e-05,0.037399183958768845,42,0.06959019601345062,606,0.0512 ± 0.0091
